artifact_role	candidate_id	selection_status	cohort	pair_population	benchmark	pregrouper	scope	requested_scope	resolved_scope	contrast	requested_contrast	resolved_source_contrast	resolved_target_contrast	readout_contrast	availability_status	unavailable_reason	api_infinity_policy	aggregation	model_s	model_t	metric	statistic	n_observations	n_prompts	f_point	f_lo	f_hi
analysis	not_applicable	not_applicable	paper	open_open	anli_r1	sentence	all	all	prompt_level_full_dialog	entailment_neutral	entailment_neutral	entailment_minus_neutral	entailment_minus_neutral	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred	spearman	1000	1000	0.33790940590940594	0.2841639668037177	0.3883417306274188
analysis	not_applicable	not_applicable	paper	open_open	anli_r1	sentence	all	all	prompt_level_full_dialog	entailment_neutral	entailment_neutral	entailment_minus_neutral	entailment_minus_neutral	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred	pearson_r2	1000	1000	0.07750774123324669	0.05225908191757474	0.10996451136738374
analysis	not_applicable	not_applicable	paper	open_open	anli_r1	sentence	all	all	prompt_level_full_dialog	entailment_neutral	entailment_neutral	entailment_minus_neutral	entailment_minus_neutral	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred	spearman	1000	1000	0.3936080376080376	0.3383814213642187	0.44304224238880563
analysis	not_applicable	not_applicable	paper	open_open	anli_r1	sentence	all	all	prompt_level_full_dialog	entailment_neutral	entailment_neutral	entailment_minus_neutral	entailment_minus_neutral	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred	pearson_r2	1000	1000	0.1509148672105532	0.11383246479894081	0.18997973128534776
analysis	not_applicable	not_applicable	paper	open_open	anli_r1	sentence	all	all	prompt_level_full_dialog	entailment_neutral	entailment_neutral	entailment_minus_neutral	entailment_minus_neutral	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred	spearman	1000	1000	0.31352187752187755	0.2543513640883467	0.3684119361106744
analysis	not_applicable	not_applicable	paper	open_open	anli_r1	sentence	all	all	prompt_level_full_dialog	entailment_neutral	entailment_neutral	entailment_minus_neutral	entailment_minus_neutral	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred	pearson_r2	1000	1000	0.08861516220762246	0.05838824328104597	0.12294153500833362
analysis	not_applicable	not_applicable	paper	open_open	anli_r1	sentence	all	all	prompt_level_full_dialog	entailment_neutral	entailment_neutral	entailment_minus_neutral	entailment_minus_neutral	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_pred	spearman	1000	1000	0.24160862560862562	0.17920181647722708	0.29918937615047336
analysis	not_applicable	not_applicable	paper	open_open	anli_r1	sentence	all	all	prompt_level_full_dialog	entailment_neutral	entailment_neutral	entailment_minus_neutral	entailment_minus_neutral	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_pred	pearson_r2	1000	1000	0.03582753158778108	0.016979247758302826	0.06134384424988825
analysis	not_applicable	not_applicable	paper	open_hosted	anli_r1	sentence	all	all	prompt_level_full_dialog	entailment_neutral	entailment_neutral	entailment_minus_neutral	entailment_minus_neutral	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	llama3.1-70b-instruct	F_pred	spearman	978	978	0.22224803466387918	0.16481749858389805	0.2821948226549818
analysis	not_applicable	not_applicable	paper	open_hosted	anli_r1	sentence	all	all	prompt_level_full_dialog	entailment_neutral	entailment_neutral	entailment_minus_neutral	entailment_minus_neutral	not_applicable	available		drop	row_pooled	qwen2.5-0.5b-instruct	llama3.1-70b-instruct	F_pred	pearson_r2	978	978	0.03455252518653808	0.018083626815891936	0.05884115748487963
