benchmark	pregrouper	scope	representation	aggregation	model_s	model_t	metric	statistic	missingness_policy	expected_observations	n_observations	n_prompts	observation_coverage	f_point	f_lo	f_hi
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-3b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.284409958278765	0.2701732280925928	0.2998368302238012
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama-3.1-8b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.33089343654762915	0.3154687521948679	0.34718186203915996
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.286774128367148	0.27134897052359147	0.30046187260006985
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.2747630118816233	0.26262006778538793	0.2890056400975616
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama3.1-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4926	4926	0.9983785974868261	0.30266880963816417	0.2870660960685978	0.31760736801279527
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama3.3-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4917	4917	0.9965545196595055	0.27601352763278375	0.2619930625712522	0.28994664238197443
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	llama4-maverick-17b-128e-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4321	4321	0.8757600324280502	0.24460920848427609	0.22863649771511418	0.26054159680703365
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	gpt-4o	F_pred_rv	rv	pair_specific_complete_case	4934	3191	3191	0.6467369274422375	0.23548103803372553	0.21817444796781166	0.2537848325533666
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	1021	1021	0.20693149574381842	0.1355559478139997	0.10883121689344914	0.16752182904654334
race	sentence	all	all_pairs	row_pooled	qwen2.5-0.5b-instruct	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	4897	4897	0.9925010133765707	0.28269722797344216	0.26804687423121276	0.29829583399133064
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	llama-3.1-8b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.67799621754745	0.666746784041804	0.6880252090817066
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.773243663575184	0.7625417140562089	0.7832832874248052
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.7797976980307454	0.7680621630434394	0.7909224828153087
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	llama3.1-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4926	4926	0.9983785974868261	0.7524099915313123	0.7423548498252215	0.7635966011298115
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	llama3.3-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4917	4917	0.9965545196595055	0.7510870410459726	0.740417132273187	0.7640463149743073
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	llama4-maverick-17b-128e-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4321	4321	0.8757600324280502	0.7135206427440753	0.7004338182711372	0.7287401623214002
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	gpt-4o	F_pred_rv	rv	pair_specific_complete_case	4934	3191	3191	0.6467369274422375	0.6978826704397896	0.6806764638733621	0.7149150413733633
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	gpt-4-1	F_pred_rv	rv	pair_specific_complete_case	4934	1021	1021	0.20693149574381842	0.46310612542982055	0.4300965889713529	0.4975025482656598
race	sentence	all	all_pairs	row_pooled	qwen2.5-3b-instruct	gemini-2-5-flash-lite-vertex	F_pred_rv	rv	pair_specific_complete_case	4934	4897	4897	0.9925010133765707	0.7358907941913165	0.723916905748128	0.7484101297581996
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-7b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.6823262266474607	0.6733017779626921	0.6933551330541096
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	qwen2.5-14b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4934	4934	1.0	0.7030460768744616	0.6925689710726013	0.7138954314997162
race	sentence	all	all_pairs	row_pooled	llama-3.1-8b-instruct	llama3.1-70b-instruct	F_pred_rv	rv	pair_specific_complete_case	4934	4926	4926	0.9983785974868261	0.7687997185748655	0.7594527308095073	0.7783937613261092
