benchmark	pregrouper	model	expected_segments	segment_rows	missing_segment_rows	extra_segment_rows	original_prompt_coverage	ablated_segment_coverage	paired_attribution_coverage	label_cell_coverage	original_content_filter_count	ablated_content_filter_count	original_terminal_failure_count	ablated_terminal_failure_count
boolq	sentence	qwen2.5-0.5b-instruct	27516	27516	0	0	1.0	1.0	1.0	1.0				
boolq	sentence	qwen2.5-3b-instruct	27516	27516	0	0	1.0	1.0	1.0	1.0				
boolq	sentence	llama-3.1-8b-instruct	27516	27516	0	0	1.0	1.0	1.0	1.0				
boolq	sentence	qwen2.5-7b-instruct	27516	27516	0	0	1.0	1.0	1.0	1.0				
boolq	sentence	qwen2.5-14b-instruct	27516	27516	0	0	1.0	1.0	1.0	1.0				
boolq	sentence	llama3.1-8b-instruct	27516	27516	0	0	0.9990825688073395	0.9982555604012211	0.9973833406018316	0.9983109205483012	0.0	0.0	0.0	0.0
boolq	sentence	llama3.1-70b-instruct	27516	27516	0	0	1.0	0.9965111208024422	0.9965111208024422	0.9776359384135646	0.0	0.0	0.0	0.0
boolq	sentence	llama3.3-70b-instruct	27516	27516	0	0	1.0	0.9964384358191598	0.9964384358191598	0.9786266484765803	0.0	0.0	0.0	0.0
boolq	sentence	llama4-maverick-17b-128e-instruct	27516	27516	0	0	1.0	0.9996729175752289	0.9996729175752289	0.9870395634379263	0.0	0.0	0.0	0.0
boolq	sentence	gpt-4o	27516	27516	0	0	0.9960244648318043	0.995529873528129	0.9942215438290449	0.9609887611251867	13.0	123.0	0.0	0.0
boolq	sentence	gpt-4-1	27516	27516	0	0	0.9963302752293578	0.9952754760866405	0.9942578863206861	0.9059799909049568	12.0	130.0	0.0	0.0
boolq	sentence	gemini-2-5-flash-lite-vertex	27516	27516	0	0	1.0	1.0	1.0	0.9979373741310985	0.0	0.0	0.0	0.0
anli_r1	sentence	qwen2.5-0.5b-instruct	8181	8181	0	0	1.0	1.0	1.0	1.0				
anli_r1	sentence	qwen2.5-3b-instruct	8181	8181	0	0	1.0	1.0	1.0	1.0				
anli_r1	sentence	llama-3.1-8b-instruct	8181	8181	0	0	1.0	1.0	1.0	1.0				
anli_r1	sentence	qwen2.5-7b-instruct	8181	8181	0	0	1.0	1.0	1.0	1.0				
anli_r1	sentence	qwen2.5-14b-instruct	8181	8181	0	0	1.0	1.0	1.0	1.0				
anli_r1	sentence	llama3.1-8b-instruct	8181	8181	0	0	0.999	0.8767876787678768	0.8758098032025424	0.8354935918382166	0.0	0.0	0.0	0.0
anli_r1	sentence	llama3.1-70b-instruct	8181	8181	0	0	1.0	0.8778877887788779	0.8778877887788779	0.8546636168899538	0.0	0.0	0.0	0.0
anli_r1	sentence	llama3.3-70b-instruct	8181	8181	0	0	1.0	0.8778877887788779	0.8778877887788779	0.764005373416113	0.0	0.0	0.0	0.0
anli_r1	sentence	llama4-maverick-17b-128e-instruct	8181	8181	0	0	1.0	0.7890233467791223	0.7890233467791223	0.49021529971317573	0.0	0.0	0.0	0.0
anli_r1	sentence	gpt-4o	8181	8181	0	0	0.999	0.9046571323799046	0.9046571323799046	0.7152089460116908	1.0	8.0	0.0	0.0
